cf,company,lat,lon,cluster
00079760328,ADRIA DIESEL S.R.L.,45.954334918518526,13.310424977777776,71
00521770321,FRANCESCO PARISI CASA DI SPEDIZIONI S.P.A.,46.506568,13.305583,0
00968120329,MOTOMARINE - SOCIETA  A RESPONSABILITA  LIMITATA,45.75068,13.669504,52
00325520302,COKE STRADE S.R.L.,46.168203,13.091555,67
00991520305,SOM S.P.A.,46.116984,13.21987,65
01354520304,FIORIRA  UN GIARDINO S.R.L.,45.988842,13.376344,65
00221840309,SELLA NEVEA S.P.A.,46.408839,13.311317,0
00250760303,IDROELETTRICA NIGRIS S.R.L.,46.344618,13.171702,0
01871840300,MICROTECH EST SRL,46.369072,13.071372,0
01847860309,MICROTECH EST SRL,46.520231,12.806981,0
00158470302,SOCIETA  A RESPONSABILITA  LIMITATA INDUSTRIA MARMI - S.A.I.M. S RL,46.37011,12.951693,0
00250760303,IDROELETTRICA NIGRIS S.R.L.,46.47325,13.02567,0
00989080304,I.CO.S. S.R.L.,46.531054,13.115538,0
00226690303,IDROELETTRICA DELLA CISTERNA S.R.L.,46.091042,13.067278,71
00992960302,FACS FUCINE S.R.L.,46.080145,13.433127,74
01779820305,MOLLUSCHICOLTURA MARANESE SOCIETA  AGRICOLA A RESPONSABILITA  LIMITATA,45.764147,13.16688,0
00272020306,BELVEDERE PINETA S.R.L.,45.768169,13.36872,26
00961500303,BIPAN S.P.A.,45.909424,13.305729,49
01455060937,BRAIDACURTI S.R.L. - SOCIETA  AGRICOLA,45.848377,12.815395,0
00994830305,FRIUL JULIA APPALTI - S.R.L.,46.165086,12.706567,72
00272090937,ROSA PLAST S.R.L.,46.140533,12.890288,30
00047900329,MARMIFERA GORLATO - IMPRESA DI COSTRUZIONI E TRASPORTI - S.R.L.,45.75068,13.669504,52
00092540327,INTERLAND S.R.L. SERVIZI E SPEDIZIONI,45.722058,13.792889,69
00462870312,FRANCESCO PARISI CASA DI SPEDIZIONI S.P.A.,45.918152,13.618158,75
01333240933,INTER-MED SRL,46.161058,13.211164,5
02817810308,SUSHI UDINE S.R.L.,45.693484,13.146545,10
00444720312,GENERALSPED S.R.L.,45.636417,13.759651,69
01070120314,EGE EKSPRES ITALIA S.R.L.,45.636417,13.759651,69
02933420305,AG S.R.L.,46.020164,13.162698,5
00521770321,FRANCESCO PARISI CASA DI SPEDIZIONI S.P.A.,45.826644,13.470089,35
01452770306,GALLAS GROUP S.R.L.,46.112285,13.214401,65
01083450328,EUROURSINOSERVICE S.R.L.,45.64166,13.818157,63
00246480321,MONTI - S. A R.L.,45.644376,13.757216,69
00984320325,OFFICINE BELLETTI S.R.L.,45.643611,13.757291,69
01271200329,FA.MA - SOCIETA  A RESPONSABILITA  LIMITATA,45.648816,13.767414,69
01271200329,FA.MA - SOCIETA  A RESPONSABILITA  LIMITATA,45.649697,13.769666,69
00989460324,IDRO SERVICE CAMASSA - S.R.L.,45.645591,13.782431,69
00896740321,GREEN FASHION S.R.L.,45.650933,13.772496,69
00482620317,SARTORI ODILO SRL,45.813704,13.395283,34
01339900936,ICA S.R.L.,45.665683,13.103286,12
02146190273,RIRA INIZIATIVE TURISTICHE S.R.L.,45.665549,13.106238,12
01468910300,AGENZIA GAMMA S.R.L.,45.666008,13.101595,12
02644990307,SUMMER NOVA SRL,45.667522,13.10845,12
00067410316,FERROJULIA S.R.L.,45.954053,12.508961,57
01058210319,ORION POWER SRL,45.915873,13.604769,75
02333530307,IDEA PROTOTIPI SRL,45.656934,13.829255,63
01112650310,B.B.C. SERVICE SRL,45.642136,13.756894,69
01702270933,ARNERI SRL,46.109364,12.49843,0
00553460312,AURORA S.R.L.,45.775393,13.602621,52
01188150328,AURISINA QUARRY S.R.L.,45.757888,13.656968,52
01264970326,Q1 INTERNATIONAL S.R.L.,45.761155,13.652279,52
00062810320,ACQUEDOTTO DEL CARSO S.P.A. - KRASKI VODOVOD D.D.,45.754462,13.662077,52
01327660328,ALMOST BLUE SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,45.775393,13.602621,52
01737410306,TESAN - TELEVITA S.R.L.,45.918152,13.618158,75
00616000329,DOTTOR DE PALO S.R.L.,45.700755,13.825948,69
01995510300,EUROCAMION 2 - TRASPORTI S.R.L.,45.699203,13.823146,69
01137480313,NORD COMPOSITES ITALIA S.R.L.,45.915873,13.604769,75
