x,y,z
7.392,44.657,-4
7.402,45.076,0
7.557,45.098,-1
7.617,45.036,-4
7.634,45.137,-18
7.641,45.025,9
7.646,45.075,7
7.649,45.076,0
7.657,45.073,1
7.665,45.069,10
7.668,45.035,8
7.669,45.087,4
7.671,45.055,3
7.672,45.063,-1
7.676,44.651,-1
7.68,44.998,2
7.69,45.066,-2
7.693,45.076,-3
7.693,45.077,3
7.696,45.056,-1
7.703,45.104,0
7.732,45.122,0
7.787,45.186,0
7.873,45.46,0
8.028,44.657,-1
8.037,44.692,8
8.055,45.561,2
8.136,45.686,-2
8.402,45.324,1
8.429,45.922,0
8.489,45.756,-2
8.561,40.733,3
8.572,45.935,0
8.622,45.448,1
8.624,45.445,10
8.638,45.712,-1
8.64,44.636,0
8.645,45.012,-1
8.65,45.465,1
8.665,45.822,9
8.699,45.476,0
8.792,45.662,-1
8.799,45.657,-2
8.825,45.821,0
8.827,45.82,-1
8.839,45.638,6
8.861,45.313,-18
8.865,45.759,-1
8.869,44.497,-1
8.88,44.421,0
8.883,44.411,-5
8.898,44.408,-1
8.9,44.408,1
8.91,45.48,1
8.916,45.597,2
8.933,44.4,0
8.937,44.4,1
8.937,44.408,3
8.937,44.409,0
8.942,44.405,-1
8.943,44.403,2
8.945,44.404,0
8.949,44.397,-2
8.954,45.544,1
8.957,45.501,0
8.961,44.435,8
8.968,45.542,0
8.995,44.397,0
9.005,45.597,3
9.016,45.618,2
9.026,45.326,1
9.043,45.574,6
9.044,45.577,-1
9.054,45.563,-3
9.06,45.767,-1
9.065,45.463,0
9.074,45.779,-10
9.076,45.507,-1
9.085,45.785,15
9.088,45.802,2
9.091,45.51,-3
9.092,45.512,-2
9.093,45.413,0
9.094,45.337,3
9.097,45.408,3
9.097,45.411,10
9.099,45.805,-1
9.104,45.476,15
9.107,45.498,-1
9.115,45.52,-1
9.116,45.447,6
9.12,39.214,-2
9.12,45.444,-3
9.124,45.406,0
9.127,45.49,-1
9.137,45.459,1
9.138,45.501,-12
9.139,45.449,1
9.145,45.696,-1
9.145,45.794,1
9.148,45.444,0
9.149,45.402,0
9.15,45.48,6
9.151,45.398,13
9.151,45.48,-1
9.152,45.486,0
9.152,45.487,54
9.154,45.411,-2
9.155,45.472,-3
9.155,45.487,1
9.157,45.478,-16
9.159,45.473,1
9.162,45.442,1
9.163,45.466,-1
9.164,45.491,-1
9.165,45.466,0
9.165,45.481,-5
9.165,45.602,2
