istat_r,istat_p,istat_c,nome,xc,yc
6,30,30001,Aiello del Friuli,13.351777359335136,45.86980086796758
6,30,30002,Amaro,13.094666679480898,46.38677897142134
6,30,30003,Ampezzo,12.737132019716341,46.409572715036596
6,30,30004,Aquileia,13.349785406479167,45.759385626465004
6,30,30005,Arta Terme,13.051977656648873,46.4786486371797
6,30,30006,Artegna,13.145476820743902,46.23541609985853
6,30,30007,Attimis,13.338769670827274,46.19461749636104
6,30,30008,Bagnaria Arsa,13.30358474962973,45.86838953661352
6,30,30009,Basiliano,13.10300261652842,46.02143745991158
6,30,30010,Bertiolo,13.068720952517392,45.93734851365797
6,30,30011,Bicinicco,13.24568479823521,45.92690050848169
6,30,30012,Bordano,13.09872073297143,46.326363771226525
6,30,30013,Buja,13.109813297484749,46.217563710344066
6,30,30014,Buttrio,13.338152887341666,46.018287732971665
6,30,30015,Camino al Tagliamento,12.949805971871664,45.92264401874501
6,30,30016,Campoformido,13.166713951531705,46.02732182309025
6,30,30018,Carlino,13.173940192906317,45.79267999481579
6,30,30019,Cassacco,13.1813286240375,46.18425834405535
6,30,30020,Castions di Strada,13.182351436270407,45.883255514579595
6,30,30021,Cavazzo Carnico,13.029166579883674,46.35256609079184
6,30,30022,Cercivento,12.976363108773807,46.541435254685716
6,30,30023,Cervignano del Friuli,13.33183106282541,45.82822794142705
6,30,30024,Chiopris-Viscone,13.389625938005262,45.931401705696494
6,30,30025,Chiusaforte,13.353319027888386,46.40867354228968
6,30,30026,Cividale del Friuli,13.443845388813084,46.083051827044855
6,30,30027,Codroipo,12.986207769333335,45.95224084332902
6,30,30028,Colloredo di Monte Albano,13.111499932621795,46.15741087946667
6,30,30029,Comeglians,12.884443703946067,46.53302215563595
6,30,30030,Corno di Rosazzo,13.441874239096553,45.99747895919655
6,30,30031,Coseano,13.012531434448054,46.082127409871426
6,30,30032,Dignano,12.950686082604545,46.09177344671363
6,30,30033,Dogna,13.347434804416313,46.460321746294326
6,30,30034,Drenchia,13.634279577088233,46.17301487360783
6,30,30035,Enemonzo,12.870707644788235,46.413150922992656
6,30,30036,Faedis,13.365496115747959,46.151933244580604
6,30,30037,Fagagna,13.083214165427101,46.10806993480841
6,30,30039,Flaibano,12.96302532960769,46.05838462764872
6,30,30040,Forni Avoltri,12.800684139673944,46.59417833284437
6,30,30041,Forni di Sopra,12.566107009002922,46.421349312548905
6,30,30042,Forni di Sotto,12.652282919218965,46.38983653210001
6,30,30043,Gemona del Friuli,13.17301454729231,46.29077057604504
6,30,30044,Gonars,13.247357326174027,45.895251576655845
6,30,30045,Grimacco,13.607200712444925,46.165037331084065
6,30,30046,Latisana,13.035251246007691,45.72513719636209
6,30,30047,Lauco,12.927702698403177,46.44575853677459
6,30,30048,Lestizza,13.109079261698735,45.968912598081005
6,30,30049,Lignano Sabbiadoro,13.101518845099996,45.672376243705514
6,30,30051,Lusevera,13.277363255904916,46.292653419941814
6,30,30052,Magnano in Riviera,13.180233207318519,46.216482022111116
6,30,30053,Majano,13.067045812182021,46.18493618693258
6,30,30054,Malborghetto Valbruna,13.435463630866279,46.50461601891802
6,30,30055,Manzano,13.382642952967105,45.99650081336053
6,30,30056,Marano Lagunare,13.15022072620651,45.73509750293728
6,30,30057,Martignacco,13.151540319137501,46.07624935148889
6,30,30058,Mereto di Tomba,13.05900627719079,46.048231241846054
6,30,30059,Moggio Udinese,13.20309600147222,46.465913865617594
6,30,30060,Moimacco,13.374600119101821,46.09129348414182
6,30,30061,Montenars,13.192727010299999,46.257958967004875
6,30,30062,Mortegliano,13.195909906099999,45.95250271402122
6,30,30063,Moruzzo,13.141477047320928,46.12835937370465
6,30,30064,Muzzana del Turgnano,13.138894861447728,45.81188177405455
6,30,30065,Nimis,13.29274137023804,46.22489936861088
6,30,30066,Osoppo,13.058911823943859,46.24401754837895
