Indirizzo Completo,A-Codice fiscale,A-Denominazione,First A-Sede/U.L.,Average of Lat,Average of Long
"",00079760328,ADRIA DIESEL S.R.L.,UL-1,45.954334918518526,13.310424977777776
". AUTOPORTO DOGANALE S.LEOPOLDO 4, 33016, PONTEBBA, UD",00521770321,FRANCESCO PARISI CASA DI SPEDIZIONI S.P.A.,UL-1,46.506568,13.305583
". MARINA DI AURISINA 153/L, 34011, DUINO AURISINA, TS",00968120329,MOTOMARINE - SOCIETA  A RESPONSABILITA  LIMITATA,UL-12,45.75068,13.669504
". SAN ELISEO 21/C, 33030, MAJANO, UD",00325520302,COKE STRADE S.R.L.,UL-1,46.168203,13.091555
". TANGENZIALE OVEST VIA VENEZIA 1, 33010, TAVAGNACCO, UD",00991520305,SOM S.P.A.,UL-1,46.116984,13.21987
"1, 33044, MANZANO, UD",01354520304,FIORIRA  UN GIARDINO S.R.L.,UL-2,45.988842,13.376344
"33010, CHIUSAFORTE, UD",00221840309,SELLA NEVEA S.P.A.,UL-1,46.408839,13.311317
"33010, VENZONE, UD",00250760303,IDROELETTRICA NIGRIS S.R.L.,UL-2,46.344618,13.171702
"33020, AMARO, UD",01871840300,MICROTECH EST SRL,UL-2,46.369072,13.071372
"33020, PRATO CARNICO, UD",01847860309,MICROTECH EST SRL,UL-1,46.520231,12.806981
"33020, VERZEGNIS, UD",00158470302,SOCIETA  A RESPONSABILITA  LIMITATA INDUSTRIA MARMI - S.A.I.M. S RL,UL-1,46.37011,12.951693
"33022, ARTA TERME, UD",00250760303,IDROELETTRICA NIGRIS S.R.L.,UL-1,46.47325,13.02567
"33027, PAULARO, UD",00989080304,I.CO.S. S.R.L.,UL-3,46.531054,13.115538
"33030, SAN VITO DI FAGAGNA, UD",00226690303,IDROELETTRICA DELLA CISTERNA S.R.L.,UL-2,46.091042,13.067278
"33043, CIVIDALE DEL FRIULI, UD",00992960302,FACS FUCINE S.R.L.,UL-10,46.080145,13.433127
"33050, MARANO LAGUNARE, UD",01779820305,MOLLUSCHICOLTURA MARANESE SOCIETA  AGRICOLA A RESPONSABILITA  LIMITATA,UL-1,45.764147,13.16688
"33051, AQUILEIA, UD",00272020306,BELVEDERE PINETA S.R.L.,UL-1,45.768169,13.36872
"33057, PALMANOVA, UD",00961500303,BIPAN S.P.A.,UL-2,45.909424,13.305729
"33079, SESTO AL REGHENA, PN",01455060937,BRAIDACURTI S.R.L. - SOCIETA  AGRICOLA,UL-1,45.848377,12.815395
"33085, MANIAGO, PN",00994830305,FRIUL JULIA APPALTI - S.R.L.,UL-1,46.165086,12.706567
"33097, SPILIMBERGO, PN",00272090937,ROSA PLAST S.R.L.,UL-2,46.140533,12.890288
"34013, DUINO-AURISINA, TS",00047900329,MARMIFERA GORLATO - IMPRESA DI COSTRUZIONI E TRASPORTI - S.R.L.,UL-1,45.75068,13.669504
"34016, MONRUPINO, TS",00092540327,INTERLAND S.R.L. SERVIZI E SPEDIZIONI,UL-1,45.722058,13.792889
"34170, GORIZIA, GO",00462870312,FRANCESCO PARISI CASA DI SPEDIZIONI S.P.A.,UL-3,45.918152,13.618158
"A. DE PILOSIO 14, 33019, TRICESIMO, UD",01333240933,INTER-MED SRL,UL-1,46.161058,13.211164
"ACCESSO ALLA VIA CARNIA 14/B, 33054, LIGNANO SABBIADORO, UD",02817810308,SUSHI UDINE S.R.L.,UL-3,45.693484,13.146545
"ADDOSSATO MAGAZZINO 69 S.N.C., 34123, TRIESTE, TS",00444720312,GENERALSPED S.R.L.,UL-2,45.636417,13.759651
"ADDOSSATO MAGAZZINO 69, 34123, TRIESTE, TS",01070120314,EGE EKSPRES ITALIA S.R.L.,UL-1,45.636417,13.759651
"ADRIATICA 30, 33030, CAMPOFORMIDO, UD",02933420305,AG S.R.L.,UL-1,46.020164,13.162698
"AEROPORTO F.V.G., 34077, RONCHI DEI LEGIONARI, GO",00521770321,FRANCESCO PARISI CASA DI SPEDIZIONI S.P.A.,UL-4,45.826644,13.470089
"ALPE ADRIA 6, 33010, TAVAGNACCO, UD",01452770306,GALLAS GROUP S.R.L.,UL-2,46.112285,13.214401
"ANDRONA ALMERIGO D ESTE 9, 34139, TRIESTE, TS",01083450328,EUROURSINOSERVICE S.R.L.,UL-1,45.64166,13.818157
"ANDRONA CAMPO MARZIO 2, 34123, TRIESTE, TS",00246480321,MONTI - S. A R.L.,UL-8,45.644376,13.757216
"ANDRONA CAMPO MARZIO 3 E 5, 34123, TRIESTE, TS",00984320325,OFFICINE BELLETTI S.R.L.,UL-11,45.643611,13.757291
"ANDRONA DEI COPPA 1 - P. 1, 34121, TRIESTE, TS",01271200329,FA.MA - SOCIETA  A RESPONSABILITA  LIMITATA,UL-5,45.648816,13.767414
"ANDRONA DEL PANE 3, 34121, TRIESTE, TS",01271200329,FA.MA - SOCIETA  A RESPONSABILITA  LIMITATA,UL-2,45.649697,13.769666
"ANDRONA FERRIERA 1, 34138, TRIESTE, TS",00989460324,IDRO SERVICE CAMASSA - S.R.L.,UL-1,45.645591,13.782431
"ANDRONA S.EUFEMIA 2/B, 34100, TRIESTE, TS",00896740321,GREEN FASHION S.R.L.,UL-1,45.650933,13.772496
"ANTONIO GRAMSCI 28, 33059, FIUMICELLO VILLA VICENTINA, UD",00482620317,SARTORI ODILO SRL,UL-1,45.813704,13.395283
"ARCO DEL LIBECCIO 40, 33054, LIGNANO SABBIADORO, UD",01339900936,ICA S.R.L.,UL-1,45.665683,13.103286
"ARCO DEL LIBECCIO 5/C, 33054, LIGNANO SABBIADORO, UD",02146190273,RIRA INIZIATIVE TURISTICHE S.R.L.,UL-2,45.665549,13.106238
"ARCO DEL LIBECCIO 58, 33054, LIGNANO SABBIADORO, UD",01468910300,AGENZIA GAMMA S.R.L.,UL-1,45.666008,13.101595
"ARCO DELLA PARANZA 6/A, 33054, LIGNANO SABBIADORO, UD",02644990307,SUMMER NOVA SRL,UL-1,45.667522,13.10845
"AREA ARTIGIANALE 14, 33077, SACILE, PN",00067410316,FERROJULIA S.R.L.,UL-1,45.954053,12.508961
"AREA SCIENCE PARK, PAD A.LAB.1, 34170, GORIZIA, GO",01058210319,ORION POWER SRL,UL-1,45.915873,13.604769
