Indirizzo Completo,A-Codice fiscale,A-Denominazione,First A-Sede/U.L.,Average of Lat,Average of Long
"",00074410937,A.P.E. RESEARCH S.R.L.,SEDE,45.65333276797389,13.206231836601324
". AUTOPORTO DOGANALE S.LEOPOLDO 4, 33016, PONTEBBA, UD",00521770321,FRANCESCO PARISI CASA DI SPEDIZIONI S.P.A.,UL-1,46.506568,13.305583
". CENTRO COMMERCIALE - SETTORE M 2, 33170, PORDENONE, PN",01434560932,KENO S.R.L.,SEDE,45.950925,12.692459
". CENTRO INGROSSO SETTORE E 121, 33170, PORDENONE, PN",01743990937,SPEDIFRIULI S.R.L.,SEDE,45.956368,12.661452
". LOC. OSMANNORO VIA ARNO 23/25, 50019, SESTO FIORENTINO, FI",01678370485,VDS RAIL S.R.L.,SEDE,43.812408,11.174639
". MARINA DI AURISINA 153/L, 34011, DUINO AURISINA, TS",00968120329,MOTOMARINE - SOCIETA  A RESPONSABILITA  LIMITATA,UL-12,45.75068,13.669504
". PALAZZINA EX CULP PUNTO FRANCO NUOVO, 34123, TRIESTE, TS",01266900321,JULIAFER S.R.L.,SEDE,45.637701,13.758065
". PUNTO FRANCO VECCHIO SNC, 34135, TRIESTE, TS",01191250321,TRIESTE ADRIATIC MARITIME INITIATIVES S.R.L.,SEDE,45.661343,13.766596
". SAN ELISEO 21/C, 33030, MAJANO, UD",00325520302,COKE STRADE S.R.L.,UL-1,46.168203,13.091555
". SDAG SPA AUTOPORTO PADIGL. A SNC, 34170, GORIZIA, GO",06741351008,LOGISTA ITALIA S.P.A.,UL-2,45.915873,13.604769
". TANGENZIALE OVEST VIA VENEZIA 1, 33010, TAVAGNACCO, UD",00991520305,SOM S.P.A.,UL-1,46.116984,13.21987
"/, 33040, ATTIMIS, UD",01026250280,AESSE S.R.L.,UL-2,46.188266,13.305888
"/, 33090, TRAVESIO, PN",00930290044,BUZZI UNICEM SPA - SENZA VINCOLI DI RAPPRESENTAZIONE GRAFICA,UL-2,46.197803,12.868153
"/, 33091, CASTELNOVO DEL FRIULI, PN",00930290044,BUZZI UNICEM SPA - SENZA VINCOLI DI RAPPRESENTAZIONE GRAFICA,UL-3,46.206111,12.895586
"1, 33044, MANZANO, UD",01354520304,FIORIRA  UN GIARDINO S.R.L.,UL-2,45.988842,13.376344
"1/G, 33080, PRATA DI PORDENONE, PN",01869950939,RENT & WASH S.R.L.,SEDE,45.902015,12.600708
"158, 34018, SAN DORLIGO DELLA VALLE DOLINA, TS",05816640659,B&G GROUP SRL,UL-2,45.602723,13.854955
"3, 33010, OSOPPO, UD",02425420300,STASIM TECNICA S.R.L.,UL-1,46.25822,13.078799
"33010, CHIUSAFORTE, UD",00221840309,SELLA NEVEA S.P.A.,UL-1,46.408839,13.311317
"33010, OSOPPO, UD",01053890586,A.V.R.O. S.R.L.,SEDE,46.221064,13.066604
"33010, VENZONE, UD",00250760303,IDROELETTRICA NIGRIS S.R.L.,SEDE,46.344618,13.171702
"33020, AMARO, UD",01871840300,MICROTECH EST SRL,UL-2,46.369072,13.071372
"33020, PRATO CARNICO, UD",00269770301,LAVORAZIONE CARNICA LEGNAMI-S.R.L.,SEDE,46.520231,12.806981
"33020, VERZEGNIS, UD",00158470302,SOCIETA  A RESPONSABILITA  LIMITATA INDUSTRIA MARMI - S.A.I.M. S RL,UL-1,46.37011,12.951693
"33020, ZUGLIO, UD",01699400303,VALBUT INERTI S.R.L.,SEDE,46.468192,12.990492
"33022, ARTA TERME, UD",00250760303,IDROELETTRICA NIGRIS S.R.L.,UL-1,46.47325,13.02567
"33026, PALUZZA, UD",00274610302,INDUSTRIA MARMI ALPINI I.M.A. S.P.A. -IN FALLIMENTO-,SEDE,46.529479,13.019768
